sid,state,crime,murder,pctmetro,pctwhite,pcths,poverty,single
1,ak,761,9,41.79999924,75.19999695,86.59999847,9.100000381,14.30000019
2,al,780,11.60000038,67.40000153,73.5,66.90000153,17.39999962,11.5
3,ar,593,10.19999981,44.70000076,82.90000153,66.30000305,20,10.69999981
4,az,715,8.600000381,84.69999695,88.59999847,78.69999695,15.39999962,12.10000038
5,ca,1078,13.10000038,96.69999695,79.30000305,76.19999695,18.20000076,12.5
6,co,567,5.800000191,81.80000305,92.5,84.40000153,9.899999619,12.10000038
7,ct,456,6.300000191,95.69999695,89,79.19999695,8.5,10.10000038
8,de,686,5,82.69999695,79.40000153,77.5,10.19999981,11.39999962
9,fl,1206,8.899999619,93,83.5,74.40000153,17.79999924,10.60000038
10,ga,723,11.39999962,67.69999695,70.80000305,70.90000153,13.5,13
11,hi,261,3.799999952,74.69999695,40.90000153,80.09999847,8,9.100000381
12,ia,326,2.299999952,43.79999924,96.59999847,80.09999847,10.30000019,9
13,id,282,2.900000095,30,96.69999695,79.69999695,13.10000038,9.5
14,il,960,11.39999962,84,81,76.19999695,13.60000038,11.5
15,in,489,7.5,71.59999847,90.59999847,75.59999847,12.19999981,10.80000019
16,ks,496,6.400000095,54.59999847,90.90000153,81.30000305,13.10000038,9.899999619
17,ky,463,6.599999905,48.5,91.80000305,64.59999847,20.39999962,10.60000038
18,la,1062,20.29999924,75,66.69999695,68.30000305,26.39999962,14.89999962
19,ma,805,3.900000095,96.19999695,91.09999847,80,10.69999981,10.89999962
20,md,998,12.69999981,92.80000305,68.90000153,78.40000153,9.699999809,12
21,me,126,1.600000024,35.70000076,98.5,78.80000305,10.69999981,10.60000038
22,mi,792,9.800000191,82.69999695,83.09999847,76.80000305,15.39999962,13
23,mn,327,3.400000095,69.30000305,94,82.40000153,11.60000038,9.899999619
24,mo,744,11.30000019,68.30000305,87.59999847,73.90000153,16.10000038,10.89999962
25,ms,434,13.5,30.70000076,63.29999924,64.30000305,24.70000076,14.69999981
26,mt,178,3,24,92.59999847,81,14.89999962,10.80000019
27,nc,679,11.30000019,66.30000305,75.19999695,70,14.39999962,11.10000038
28,nd,82,1.700000048,41.59999847,94.19999695,76.69999695,11.19999981,8.399999619
29,ne,339,3.900000095,50.59999847,94.30000305,81.80000305,10.30000019,9.399999619
30,nh,138,2,59.40000153,98,82.19999695,9.899999619,9.199999809
31,nj,627,5.300000191,100,80.80000305,76.69999695,10.89999962,9.600000381
32,nm,930,8,56,87.09999847,75.09999847,17.39999962,13.80000019
33,nv,875,10.39999962,84.80000305,86.69999695,78.80000305,9.800000191,12.39999962
34,ny,1074,13.30000019,91.69999695,77.19999695,74.80000305,16.39999962,12.69999981
35,oh,504,6,81.30000305,87.5,75.69999695,13,11.39999962
36,ok,635,8.399999619,60.09999847,82.5,74.59999847,19.89999962,11.10000038
37,or,503,4.599999905,70,93.59999847,81.5,11.80000019,11.30000019
38,pa,418,6.800000191,84.80000305,88.69999695,74.69999695,13.19999981,9.600000381
39,ri,402,3.900000095,93.59999847,92.59999847,72,11.19999981,10.80000019
40,sc,1023,10.30000019,69.80000305,68.59999847,68.30000305,18.70000076,12.30000019
41,sd,208,3.400000095,32.59999847,90.19999695,77.09999847,14.19999981,9.399999619
42,tn,766,10.19999981,67.69999695,82.80000305,67.09999847,19.60000038,11.19999981
43,tx,762,11.89999962,83.90000153,85.09999847,72.09999847,17.39999962,11.80000019
44,ut,301,3.099999905,77.5,94.80000305,85.09999847,10.69999981,10
45,va,372,8.300000191,77.5,77.09999847,75.19999695,9.699999809,10.30000019
46,vt,114,3.599999905,27,98.40000153,80.80000305,10,11
47,wa,515,5.199999809,83,89.40000153,83.80000305,12.10000038,11.69999981
48,wi,264,4.400000095,68.09999847,92.09999847,78.59999847,12.60000038,10.39999962
49,wv,208,6.900000095,41.79999924,96.30000305,66,22.20000076,9.399999619
50,wy,286,3.400000095,29.70000076,95.90000153,83,13.30000019,10.80000019
51,dc,2922,78.5,100,31.79999924,73.09999847,26.39999962,22.10000038
