Month,Year,Expert #1,Expert #2,Expert #3,Expert #4,Dart #1,Dart #2,Dart #3,Dart #4,DJIA,Average ,Diff
Jul,1990,51.6,8,7.7,-16.7,53.8,-10.2,-8.6,-35,2.5,12.65,10.15
Aug,1990,56.7,37.8,27.8,-16.7,36.7,-3.7,-3.9,-22,11.5,26.4,14.9
Sep,1990,29.8,4.6,-9.4,-14.9,6.8,-9.8,-11.3,-42.9,-2.3,2.525,4.825
Oct,1990,-13.7,-18.2,-19.4,-28.6,44.4,-9,-20.3,-44,-9.2,-19.975,-10.775
Nov,1990,25.8,-39.8,-40.4,-96.9,12.9,-9.8,-31.4,-37.1,-8.5,-37.825,-29.325
Dec,1990,2.8,-17.3,-48.7,-69.9,-2.9,-24.1,-29.4,-53.4,-12.8,-33.275,-20.475
Jan,1991,8.9,0.6,-20.8,-29.3,-2.8,-23,-31.5,-32.7,-9.3,-10.15,-0.85
Feb,1991,5,-7,-14.1,-65.2,-2.7,-11.3,-40,-95.2,-0.8,-20.325,-19.525
Mar,1991,117.2,33,3.3,2.1,53.6,2.6,-1.6,-64.7,11,38.9,27.9
Apr,1991,74.2,47.7,4.9,-45.9,32.6,31.3,7.2,-26.3,15.8,20.225,4.425
May,1991,53.4,53.4,51.2,44.3,158,60.3,45.7,27.6,16.2,50.575,34.375
Jun,1991,86.9,83.1,58.5,39.3,28.3,27.3,14.8,14,17.3,66.95,49.65
Jul,1991,50,27.3,-12,-35.3,50,49.4,10.4,4.9,17.7,7.5,-10.2
Aug,1991,50,16,4.9,-1,91.8,31.8,31.1,24.6,7.6,17.475,9.875
Sep,1991,193.3,12.7,-2.3,-45.3,272.3,21.6,-1.9,-6.9,4.4,39.6,35.2
Oct,1991,24.6,23.1,13.6,0,37.7,7.2,-3.3,-30.3,3.4,15.325,11.925
Nov,1991,53.2,12,-7.7,-7.9,175.2,6,-8.2,-9.1,4.4,12.4,8
Dec,1991,37.5,12.7,-15.1,-23.1,4.6,-12,-27.6,-57.9,-3.3,3,6.3
Jan,1992,23.8,13.9,13.3,-2.1,80.2,7.9,-24.3,-47.2,6.6,12.225,5.625
Feb,1992,102.4,58.9,11.6,-16,-1.3,-3.1,-4.2,-47.5,6.5,39.225,32.725
Mar,1992,145.6,63.2,3.7,-7.7,49.2,24.4,1.3,-28.3,8.6,51.2,42.6
Apr,1992,59.4,32.5,10.3,-1.4,20.9,-3.5,-4.6,-8.3,7.2,25.2,18
May,1992,54,15.8,-40.7,-42.2,4.8,2,-6.9,-12.1,10.6,-3.275,-13.875
Jun,1992,43.3,14,-11.3,-15,19.1,-2.7,-3,-18.8,17.6,7.75,-9.85
Jul,1992,-2.4,-9.8,-16.2,-55.6,17.7,16.3,0,3,3.6,-21,-24.6
Aug,1992,12.8,2.2,-33,-33.8,39.3,29,6.9,-13.5,4.2,-12.95,-17.15
Sep,1992,32.6,3,-12.5,-33.1,45.5,25,-23.9,-32.4,-0.3,-2.5,-2.2
Oct,1992,-6.4,-7,-23.1,-41.4,50.8,30.2,23.1,-81.3,-0.1,-19.475,-19.375
Nov,1992,35.8,3.5,1.4,-15.3,6.5,-8.7,-8.8,-11.8,-5,6.35,11.35
Dec,1992,42.6,-4.8,-5.8,-52.3,33.8,9.1,6.4,-21.9,-2.8,-5.075,-2.275
Jan,1993,40.7,35,13.8,-33.3,34.1,18.2,-20,-25.2,0.2,14.05,13.85
Feb,1993,29.6,27,24.3,-18.5,19.2,10,-11.1,-73.9,-0.8,15.6,16.4
Mar,1993,-0.7,-13.9,-44.6,-47.5,48.4,23.8,1.9,-11.8,2.5,-26.675,-29.175
Apr,1993,92.1,34.3,1,-26.3,36.4,25,18.3,-5,9,25.275,16.275
May,1993,7.4,-12.2,-16.5,-34.2,11.7,-2.7,-10.7,-12.7,5.8,-13.875,-19.675
Jun,1993,65.2,34.8,21.9,-10.3,20,14.5,9.1,-17,6.7,27.9,21.2
Jul,1993,19.5,2.3,-6.5,-41.7,59,-2.7,-13.8,-23.7,7.7,-6.6,-14.3
Aug,1993,80,25.9,8.7,1.9,3.1,-37.5,-51.3,-86.4,3.7,29.125,25.425
Sep,1993,27.6,0,-8.9,-17.7,47.9,29.7,-21.6,-78.4,7.3,0.25,-7.05
Oct,1993,45.6,4.6,-18.6,-21.4,-0.2,-6.7,-25.4,-38.6,5.2,2.55,-2.65
Nov,1993,16.1,7.8,5.4,-9.3,7.5,3.5,-14.5,-16.1,5.7,5,-0.7
Dec,1993,6.7,-6.8,-9.5,-20,-7,-14.6,-22.9,-41.3,4.9,-7.4,-12.3
Jan,1994,10.8,10,7.6,-19.8,122.7,54.1,5.9,-14.1,8,2.15,-5.85
Feb,1994,40.7,29.6,23.7,17.3,34.1,31.9,10.2,-2.2,11.2,27.825,16.625
Mar,1994,22.1,19.7,-5.9,-21.2,22.9,-0.9,-1.1,-14.8,5.5,3.675,-1.825
Apr,1994,46.7,8.8,3.1,-39.9,11.5,3.5,-14.9,-36.8,1.6,4.675,3.075
May,1994,49.5,7.1,-0.9,-34.2,27.8,-3.3,-12.4,-54.2,0.5,5.375,4.875
Jun,1994,9.7,-1.4,-16.7,-29.8,22.3,3.7,-1.5,-18.8,1.3,-9.55,-10.85
Jul,1994,0,-12.7,-14.4,-25.2,14.8,-3.5,-4.2,-41.9,-6.2,-13.075,-6.875
Aug,1994,-6.8,-7.9,-11.8,-13.3,63.4,17.9,-3.6,-10.3,-5.3,-9.95,-4.65
Sep,1994,55.8,42,35.1,-19.3,33.3,21.1,-21.6,-50,1.5,28.4,26.9
Oct,1994,33.3,16.5,-1.8,-5.8,37.6,31.2,18.1,-4.7,4.4,10.55,6.15
Nov,1994,55.7,33.8,31.8,-12.7,36.5,34.7,-0.9,-29.3,6.9,27.15,20.25
Dec,1994,72,62.5,32.6,-19,5.6,-2.6,-6.3,-23.8,-0.3,37.025,37.325
Jan,1995,13.6,-6.9,-11.4,-58.3,20,9.5,4.3,-12.5,3.6,-15.75,-19.35
Feb,1995,35.8,19.3,14.7,11.6,8.2,2.8,1.7,-1.4,1.8,20.35,18.55
Mar,1995,17,10,2.5,-7.9,50,12.3,-4,-10.7,3.2,5.4,2.2
