Time,AAPL,SP500,rf
1/31/02,12.31,1130.2,1.72
2/28/02,10.8,1106.73,1.72
3/28/02,11.78,1147.39,1.74
4/30/02,12.08,1076.92,1.73
5/31/02,11.6,1067.14,1.71
6/28/02,8.82,989.82,1.66
7/31/02,7.6,911.62,1.66
8/30/02,7.34,916.07,1.64
9/30/02,7.22,815.28,1.53
10/31/02,8,885.76,1.42
11/29/02,7.72,936.31,1.2
12/31/02,7.13,879.82,1.18
1/31/03,7.15,855.7,1.15
2/28/03,7.47,841.15,1.17
3/31/03,7.04,848.18,1.09
4/30/03,7.08,916.92,1.1
5/30/03,8.94,963.59,1.09
6/30/03,9.49,974.5,0.84
7/31/03,10.49,990.31,0.93
8/29/03,11.26,1008.01,0.96
9/30/03,10.32,995.97,0.93
10/31/03,11.4,1050.71,0.93
11/28/03,10.41,1058.2,0.91
12/31/03,10.64,1111.92,0.91
1/30/04,11.23,1131.13,0.9
2/27/04,11.91,1144.94,0.93
3/31/04,13.46,1126.21,0.92
4/30/04,12.83,1107.3,0.95
5/28/04,13.97,1120.68,1.05
6/30/04,16.2,1140.84,1.3
7/30/04,16.1,1101.72,1.41
8/31/04,17.17,1104.24,1.57
9/30/04,19.29,1114.58,1.67
10/29/04,26.09,1130.2,1.87
11/30/04,33.38,1173.82,2.18
12/31/04,32.06,1211.92,2.18
1/31/05,38.29,1181.27,2.42
2/28/05,44.67,1203.6,2.69
3/31/05,41.49,1180.59,2.72
4/29/05,35.91,1156.85,2.84
5/31/05,39.59,1191.5,2.88
6/30/05,36.65,1191.33,3.06
7/29/05,42.47,1234.18,3.33
8/31/05,46.69,1220.33,3.43
9/30/05,53.38,1228.81,3.47
10/31/05,57.34,1207.01,3.81
11/30/05,67.53,1249.48,3.86
12/30/05,71.58,1248.29,3.98
1/31/06,75.19,1280.08,4.37
2/28/06,68.2,1280.66,4.51
3/31/06,62.45,1294.87,4.51
4/28/06,70.09,1310.61,4.65
5/31/06,59.51,1270.09,4.72
6/30/06,57.03,1270.2,4.86
7/31/06,67.67,1276.66,4.93
8/31/06,67.56,1303.82,4.91
9/29/06,76.65,1335.85,4.76
10/31/06,80.73,1377.94,4.94
11/30/06,91.27,1400.63,4.89
12/29/06,84.48,1418.3,4.89
