Date,IBM,MSFT,HD,XOM,AAPL
6/3/2008,0.003732293,-0.017779534,0.00591466,-0.023974763,-0.003885591
6/4/2008,-0.002281754,0.008447305,0.002939941,0.00051713,-0.000975187
6/5/2008,0.007284432,0.027522936,0.02721943,0.041478227,0.022885033
6/6/2008,-0.027497477,-0.028338509,-0.026498166,-0.028163772,-0.019987276
6/9/2008,0.007349762,0.007990412,-0.023450586,0.026171326,-0.021747363
6/10/2008,0.000600858,0.006341657,0.006432247,-0.01318736,0.022230825
6/11/2008,-0.021360556,-0.027569909,-0.029825309,0.008194655,-0.026021098
6/12/2008,0.004908836,0.041312272,0.021958718,-0.017506565,-0.041768496
6/13/2008,0.018579902,0.029560482,0.039535883,0.01489118,-0.005158822
6/16/2008,0.004453199,-0.00491122,-0.000826788,-0.00413845,0.025927868
6/17/2008,-0.012703555,-0.004555809,-0.023169218,0.007177937,0.025954112
6/18/2008,-0.007512953,-0.011823036,-0.011859382,-0.009002251,-0.014724606
6/19/2008,0.006873749,0.016595909,0.023574796,-0.023214736,0.012023147
6/20/2008,-0.018233667,-0.024297646,-0.033919598,-0.010204082,-0.031144174
6/23/2008,0.005897368,-0.009338521,-0.045513654,0.032885293,-0.012033005
6/24/2008,0,-0.008248233,0.009990917,-0.00897031,0.000521981
6/25/2008,0.009100455,0.022178218,0.006294964,0.007904131,0.023882673
6/26/2008,-0.027748873,-0.02130957,-0.031724754,-0.013660511,-0.051463511
6/27/2008,-0.008919015,-0.004354711,-0.025842178,0.001667094,0.010863077
6/30/2008,-0.012598992,-0.003976143,-0.025106585,0.018307515,-0.015588096
7/1/2008,0.006197594,-0.023552894,-0.008746356,0.002388735,0.043246161
7/2/2008,-0.001449275,-0.036794767,-0.029901961,-0.010535558,-0.037198873
7/3/2008,0.003719158,0.003820034,0.001010611,0.009760426,0.01152514
7/7/2008,0.016357885,0.002114165,-0.010095911,-0.014938489,0.029635752
7/8/2008,0.019651432,-0.007172996,0.03263641,-0.011596789,0.025055903
7/9/2008,-0.028080579,-0.023799405,-0.029135802,-0.018953069,-0.02947757
7/10/2008,0.023059668,0.008707009,-0.022380468,0.020764884,0.013601522
7/11/2008,-0.008594983,-0.007768666,-0.013527575,-0.006823741,-0.022914653
7/14/2008,-0.00477707,-0.003914746,-0.002109705,-0.000648172,0.007565177
7/15/2008,0.013688889,0.039737991,-0.003171247,-0.037877805,-0.024431096
7/16/2008,0.022185198,0.042419152,0.056733828,-0.01671835,0.018708188
7/17/2008,0.00463241,0.00926672,0.031108881,-0.005896065,-0.005753472
7/18/2008,0.026641619,-0.060279441,0.00243309,0.015034483,-0.038812252
7/21/2008,-0.009481826,-0.008496177,-0.013592233,0.017665444,0.00693262
7/22/2008,0.010412293,0.006426735,0.035925197,-0.001468821,-0.025667351
7/23/2008,-0.003656611,0.024265645,0.045130641,-0.022599626,0.026157565
7/24/2008,0.003670031,-0.037406484,-0.040454545,-0.0023259,-0.043491392
7/25/2008,-0.011302252,0.028497409,-0.009474183,0.011108064,0.019450584
7/28/2008,-0.017735564,-0.025188917,-0.026781444,-0.01247796,-0.047636747
